Clump_thickness,Unif_Cell_Size,Unif_Cell_Shape,Marginal_Adhesion,Single_Cell_Size,Bare_Nuclei,Bland_Chromatine,Normal_Nucleoli,Mitoses,type
7.74,5.73,5.14,1.35,4.93,9.9,4.41,3.5,2.46,malign
5.75,2.53,4.52,1.17,2.7,8.6,1.69,0.28,4.73,benign
0.91,0.1,1.54,0.0,1.1,0.02,2.17,8.89,0.31,malign
1.34,0.02,0.22,0.0,0.38,4.96,1.39,0.0,0.76,benign
6.11,5.49,4.54,1.03,3.35,3.53,3.72,3.22,0.03,benign
4.33,4.28,1.1,7.23,3.94,2.69,4.46,0.01,0.81,benign
0.64,0.17,0.72,7.76,2.07,1.3,1.11,0.31,3.77,benign
0.72,0.41,0.08,0.79,1.05,0.08,0.33,1.04,0.09,benign
7.5,9.25,9.06,9.86,3.97,9.99,5.84,0.16,3.71,malign
1.19,0.27,0.85,0.0,3.15,6.2,3.47,0.02,1.77,malign
0.02,0.36,0.0,0.0,1.35,0.02,0.48,0.17,0.79,benign
0.91,0.0,0.0,0.0,0.62,0.02,0.02,0.0,0.39,benign
2.17,9.98,3.3,0.14,5.72,9.7,6.62,0.0,0.3,benign
2.68,9.97,8.69,4.14,5.3,7.15,4.64,8.52,1.15,malign
5.87,7.27,8.18,7.26,5.29,9.99,3.12,6.36,0.15,malign
9.05,7.95,6.8,4.84,7.84,1.0,7.55,0.0,0.71,malign
4.99,9.89,8.01,2.39,7.25,9.99,5.44,9.67,0.51,malign
4.11,4.16,2.57,9.83,2.84,1.42,2.89,0.03,0.03,benign
9.91,9.98,9.9,9.94,6.77,9.99,7.02,9.58,3.28,malign
1.32,0.62,4.6,9.53,4.29,8.95,7.71,8.38,0.16,malign
9.04,9.46,9.75,9.68,9.25,9.99,9.97,9.95,4.5,malign
0.01,0.0,0.06,0.0,1.65,0.02,0.33,0.0,0.3,benign
4.44,0.51,1.29,0.6,1.16,0.06,3.65,0.0,0.28,malign
9.48,2.43,8.88,9.94,3.82,4.21,3.01,8.43,0.52,benign
1.03,2.95,0.07,0.01,1.98,6.94,6.09,1.05,1.28,benign
4.88,8.43,1.54,0.42,2.71,8.31,2.85,0.01,1.07,malign
5.86,7.05,7.65,0.05,1.36,9.87,1.82,6.06,0.1,malign
1.59,0.01,0.04,0.0,0.88,7.24,0.95,0.0,0.03,benign
3.23,0.94,0.28,0.09,0.4,0.06,3.16,0.02,0.03,benign
7.5,3.41,7.25,9.21,4.39,9.99,5.96,3.15,2.58,malign
1.32,8.6,5.86,0.73,4.48,9.95,6.08,5.76,0.88,malign
4.4,0.27,1.04,7.33,2.4,7.99,5.93,3.28,0.66,benign
2.88,0.0,0.08,6.16,3.01,7.94,0.35,0.0,0.54,benign
7.08,8.1,3.26,4.33,2.65,0.03,1.83,7.15,0.94,malign
6.1,7.1,3.45,2.77,4.68,8.24,5.92,1.63,0.43,benign
0.68,0.15,0.86,1.76,2.1,0.02,5.61,0.68,0.03,malign
6.17,0.0,0.08,0.04,0.94,0.1,0.51,0.01,1.0,benign
2.01,2.61,5.18,5.26,1.04,5.7,8.27,4.8,1.59,malign
1.51,0.05,0.09,0.05,0.58,3.61,0.83,0.0,0.16,benign
3.09,0.21,1.17,4.41,2.13,9.99,0.75,2.14,1.15,benign
4.34,4.15,0.45,0.0,3.0,0.98,1.23,5.5,6.24,benign
0.81,0.01,1.75,0.08,0.85,0.02,1.57,0.07,0.04,benign
2.01,0.03,6.35,0.0,2.07,6.68,1.69,3.15,0.02,benign
8.56,0.0,0.08,0.01,0.29,9.95,0.24,0.0,0.1,benign
0.33,0.03,0.06,2.27,0.05,0.02,0.3,0.4,0.08,benign
0.51,5.04,3.38,0.59,2.44,9.45,3.38,0.05,0.68,benign
0.04,0.0,0.0,0.0,0.06,0.02,0.13,4.66,0.01,benign
7.88,8.74,1.56,0.13,2.27,2.77,1.8,0.01,1.29,malign
0.28,0.0,0.22,0.03,1.86,0.7,2.11,0.67,0.09,benign
8.54,8.04,8.07,9.94,3.19,9.99,3.23,6.06,1.11,benign
